bootstrap_ci_lower_mean,bootstrap_ci_upper_mean,experiment_name,f1_macro_mean,f1_macro_sd,input_mode,model,num_seeds,split,subset
0.637413656573524,0.7058641877557296,ocr/dt4mid-caption,0.6723545388156821,0.013886290798732468,caption,dt4mid-phobert,3,test,full
0.6038536484042495,0.6893377182487948,ocr/dt4mid-caption,0.6474690053349349,0.01716093213969832,caption,dt4mid-phobert,3,test,ocr_present
0.6592604170347003,0.7741096843686925,ocr/dt4mid-caption,0.7184220568394442,0.012528075461310975,caption,dt4mid-phobert,3,test,ocr_absent
0.6371505516687387,0.705381109702382,ocr/dt4mid-caption-ocr,0.671688379809563,0.00829730810788951,caption_ocr,dt4mid-phobert,3,test,full
0.5934188289427955,0.6791957063463289,ocr/dt4mid-caption-ocr,0.6373190443388274,0.020893307543798298,caption_ocr,dt4mid-phobert,3,test,ocr_present
0.676789452258812,0.7888708476647658,ocr/dt4mid-caption-ocr,0.7345406079339417,0.01326549489847739,caption_ocr,dt4mid-phobert,3,test,ocr_absent
0.6473995781420666,0.7149746790140905,phobert-caption,0.6818797103069318,0.007656176950743048,caption,phobert-base,3,test,full
0.6039545045001368,0.689454984169136,phobert-caption,0.6474803482373958,0.012487765733941418,caption,phobert-base,3,test,ocr_present
0.6928847640462741,0.8016439025844398,phobert-caption,0.7488214804770915,0.007560211490727059,caption,phobert-base,3,test,ocr_absent
0.6668555351042803,0.7331239312024621,phobert-caption-ocr,0.7004997293376428,0.012469726369982568,caption_ocr,phobert-base,3,test,full
0.6228404135428701,0.7071532320505987,phobert-caption-ocr,0.6660711258525547,0.016288422599011025,caption_ocr,phobert-base,3,test,ocr_present
0.7079755655721677,0.8154104445426285,phobert-caption-ocr,0.7631172606816241,0.013662274170406519,caption_ocr,phobert-base,3,test,ocr_absent
0.5289008418393997,0.6009770071632309,phobert-ocr,0.5654858633864678,0.004881902673460299,ocr,phobert-base,3,test,full
0.5515868192227469,0.6393827765048131,phobert-ocr,0.5961966685857664,0.007610227192913111,ocr,phobert-base,3,test,ocr_present
0.33803956792462536,0.38825367147674067,phobert-ocr,0.3638676844783715,0.0,ocr,phobert-base,3,test,ocr_absent
0.47444283140785526,0.5878489950190505,platform/dt4mid-facebook-source,0.5308690906355389,0.0863076739647247,caption,dt4mid-phobert,3,source_test,full
0.2771645803183493,0.3550183536283633,platform/dt4mid-facebook-source,0.3158604209434646,0.08620732680988036,caption,dt4mid-phobert,3,target_test,full
0.5491488949474467,0.6442328012530585,platform/dt4mid-threads-source,0.5974955517397237,0.04773254930779976,caption,dt4mid-phobert,3,source_test,full
0.41951965197368685,0.533451399968678,platform/dt4mid-threads-source,0.4772944097349745,0.036991121963266836,caption,dt4mid-phobert,3,target_test,full
0.549468428388308,0.6666572998168802,platform/phobert-facebook-source,0.6095612674294647,0.003610889224798113,caption,phobert-base,3,source_test,full
0.43099332596165607,0.5237803001266075,platform/phobert-facebook-source,0.4776989031410497,0.04388240371573511,caption,phobert-base,3,target_test,full
0.5578375402893851,0.655637483982029,platform/phobert-threads-source,0.6070508708131898,0.021024774855207377,caption,phobert-base,3,source_test,full
0.46639119742171314,0.5800044484838232,platform/phobert-threads-source,0.5244944414655689,0.04749942685352624,caption,phobert-base,3,target_test,full
