accuracy,bootstrap_ci_lower,bootstrap_ci_upper,experiment_name,f1_macro,input_mode,model,num_negative,num_positive,num_samples,seed,split,subset
0.6752717391304348,0.6230201746060818,0.6930165356587271,ocr/dt4mid-caption,0.6589520624303233,caption,dt4mid-phobert,414,322,736,123,test,full
0.6460905349794238,0.5854357707866321,0.6714349264134316,ocr/dt4mid-caption,0.6291063980832372,caption,dt4mid-phobert,271,215,486,123,test,ocr_present
0.732,0.6590289143480633,0.7726333195535345,ocr/dt4mid-caption,0.7173043492936828,caption,dt4mid-phobert,143,107,250,123,test,ocr_absent
0.6929347826086957,0.6516038576452631,0.7202762638848064,ocr/dt4mid-caption,0.6866787221217601,caption,dt4mid-phobert,414,322,736,2026,test,full
0.6666666666666666,0.6192641109612791,0.7049407418808681,ocr/dt4mid-caption,0.6631007805011639,caption,dt4mid-phobert,271,215,486,2026,test,ocr_present
0.744,0.6725020840776468,0.7868045040811709,ocr/dt4mid-caption,0.7314715359828142,caption,dt4mid-phobert,143,107,250,2026,test,ocr_absent
0.6725543478260869,0.637616937469227,0.7042997637236552,ocr/dt4mid-caption,0.6714328318949627,caption,dt4mid-phobert,414,322,736,42,test,full
0.6502057613168725,0.606861063464837,0.6916374864520847,ocr/dt4mid-caption,0.6501998374204037,caption,dt4mid-phobert,271,215,486,42,test,ocr_present
0.716,0.6462502526783909,0.7628912294713722,ocr/dt4mid-caption,0.7064902852418354,caption,dt4mid-phobert,143,107,250,42,test,ocr_absent
0.686141304347826,0.64795101133016,0.7139910882452276,ocr/dt4mid-caption-ocr,0.681268805714125,caption_ocr,dt4mid-phobert,414,322,736,123,test,full
0.6646090534979424,0.6185503685503686,0.702987880433866,ocr/dt4mid-caption-ocr,0.661442729724301,caption_ocr,dt4mid-phobert,271,215,486,123,test,ocr_present
0.728,0.6610842850749833,0.7749999999999999,ocr/dt4mid-caption-ocr,0.7193051978072783,caption_ocr,dt4mid-phobert,143,107,250,123,test,ocr_absent
0.6684782608695652,0.6317135549872124,0.7011006043264107,ocr/dt4mid-caption-ocr,0.666815091875204,caption_ocr,dt4mid-phobert,414,322,736,2026,test,full
0.6255144032921811,0.5815231914487498,0.6679826791625497,ocr/dt4mid-caption-ocr,0.625514403292181,caption_ocr,dt4mid-phobert,271,215,486,2026,test,ocr_present
0.752,0.6834415584415585,0.7945346209163756,ocr/dt4mid-caption-ocr,0.7407853368118269,caption_ocr,dt4mid-phobert,143,107,250,2026,test,ocr_absent
0.6671195652173914,0.6317870886888437,0.7010516365355075,ocr/dt4mid-caption-ocr,0.6669812418393599,caption_ocr,dt4mid-phobert,414,322,736,42,test,full
0.6255144032921811,0.5801829268292682,0.6666165594425707,ocr/dt4mid-caption-ocr,0.6249999999999999,caption_ocr,dt4mid-phobert,271,215,486,42,test,ocr_present
0.748,0.685842513259894,0.797077922077922,ocr/dt4mid-caption-ocr,0.7435312891827197,caption_ocr,dt4mid-phobert,143,107,250,42,test,ocr_absent
0.6807065217391305,0.6431104896809862,0.710926829519061,phobert-caption,0.6778753480402656,caption,phobert-base,414,322,736,123,test,full
0.6399176954732511,0.5935554608798734,0.6797670414691691,phobert-caption,0.6373366309191308,caption,phobert-base,271,215,486,123,test,ocr_present
0.76,0.7027825975194396,0.8097892819830297,phobert-caption,0.7569511958001166,caption,phobert-base,143,107,250,123,test,ocr_absent
0.6915760869565217,0.657038883423694,0.7240993173973022,phobert-caption,0.6907076410422548,caption,phobert-base,414,322,736,2026,test,full
0.6625514403292181,0.6188155763259094,0.7027169388136544,phobert-caption,0.6614276247599953,caption,phobert-base,271,215,486,2026,test,ocr_present
0.748,0.6918767507002801,0.7995381358650331,phobert-caption,0.7475111816476698,caption,phobert-base,143,107,250,2026,test,ocr_absent
0.6793478260869565,0.6420493613215195,0.7098978901259083,phobert-caption,0.6770561418382752,caption,phobert-base,414,322,736,42,test,full
0.6460905349794238,0.5994924762946272,0.6858809722245846,phobert-caption,0.643676789033061,caption,phobert-base,271,215,486,42,test,ocr_present
0.744,0.6839949439191026,0.7956042899052567,phobert-caption,0.7420020639834881,caption,phobert-base,143,107,250,42,test,ocr_absent
0.7038043478260869,0.6684659326252518,0.7349720331479567,phobert-caption-ocr,0.7023184017573545,caption_ocr,phobert-base,414,322,736,123,test,full
0.6728395061728395,0.6295292463537343,0.7137884368559039,phobert-caption-ocr,0.6728381210440526,caption_ocr,phobert-base,271,215,486,123,test,ocr_present
0.764,0.6990219501533613,0.8070019673344643,phobert-caption-ocr,0.7537521494515768,caption_ocr,phobert-base,143,107,250,123,test,ocr_absent
0.71875,0.6788517659307963,0.7442880988527103,phobert-caption-ocr,0.7119602516037185,caption_ocr,phobert-base,414,322,736,2026,test,full
0.6831275720164609,0.6348263175167983,0.7189498358981236,phobert-caption-ocr,0.6778852775099848,caption_ocr,phobert-base,271,215,486,2026,test,ocr_present
0.788,0.7246649384096646,0.8294480773390572,phobert-caption-ocr,0.7787943037446368,caption_ocr,phobert-base,143,107,250,2026,test,ocr_absent
0.6875,0.6532489067567929,0.7201116616067192,phobert-caption-ocr,0.6872205346518555,caption_ocr,phobert-base,414,322,736,42,test,full
0.6481481481481481,0.6041656767580778,0.6887214233977687,phobert-caption-ocr,0.6474899790036266,caption_ocr,phobert-base,271,215,486,42,test,ocr_present
0.764,0.7002398081534772,0.8097812889543636,phobert-caption-ocr,0.7568053288486587,caption_ocr,phobert-base,143,107,250,42,test,ocr_absent
0.5910326086956522,0.5239912396464428,0.5960764599165292,phobert-ocr,0.560833942911743,ocr,phobert-base,414,322,736,123,test,full
0.6008230452674898,0.551537935748462,0.6396620869890289,phobert-ocr,0.5965527865260851,ocr,phobert-base,271,215,486,123,test,ocr_present
0.572,0.3386243386243386,0.38875305623471884,phobert-ocr,0.3638676844783715,ocr,phobert-base,143,107,250,123,test,ocr_absent
0.59375,0.5337217942200149,0.6068491462047347,phobert-ocr,0.5705691231425198,ocr,phobert-base,414,322,736,2026,test,full
0.6049382716049383,0.5593050847457627,0.6470627189454807,phobert-ocr,0.6036225850848724,ocr,phobert-base,271,215,486,2026,test,ocr_present
0.572,0.3386243386243386,0.38875305623471884,phobert-ocr,0.3638676844783715,ocr,phobert-base,143,107,250,2026,test,ocr_absent
0.5828804347826086,0.5289894916517411,0.6000054153684288,phobert-ocr,0.5650545241051405,ocr,phobert-base,414,322,736,42,test,full
0.588477366255144,0.5439174371740161,0.6314235235799295,phobert-ocr,0.5884146341463414,ocr,phobert-base,271,215,486,42,test,ocr_present
0.572,0.33687002652519893,0.3872549019607843,phobert-ocr,0.3638676844783715,ocr,phobert-base,143,107,250,42,test,ocr_absent
