ci_high,ci_low,delta_f1,harms,helps,model,n,seeds,subset
0.04331796423804432,-0.006408247228484037,0.01862001903071094,207,250,phobert-base/phobert,736,"42,123,2026",full
0.05165635762868094,-0.014185796869132806,0.018590777615158965,165,192,phobert-base/phobert,486,"42,123,2026",ocr_present
0.04834144852589224,-0.020823339849324846,0.014295780204532557,42,58,phobert-base/phobert,250,"42,123,2026",ocr_absent
0.020519052853555837,-0.022822072826797032,-0.0006661590061190678,224,210,dt4mid/dt4mid,736,"42,123,2026",full
0.01981201016347252,-0.040197686899215296,-0.010149960996107654,184,161,dt4mid/dt4mid,486,"42,123,2026",ocr_present
0.043437633237949184,-0.011087154685953027,0.016118551094497485,40,49,dt4mid/dt4mid,250,"42,123,2026",ocr_absent
